Num,Site,Habitat,Population,Rep,OldDishNum,NewDishNum,PopNum,Treatment,ID,SurvivalID,NoGermDish,TotGermDish,PropGermDish,PlotPropGerm,Label,PlantDate,GermDate,Censor,Census,DaysCensus,DaysToGerm
1,BAY,Off-road,BAY-O,A,1,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,0.1,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
2,BAY,Off-road,BAY-O,A,1,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,0.1,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
3,BAY,Off-road,BAY-O,A,1,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,0.1,Seed3Date,7/21/21,7/23/21,1,8/3/21,13,2
4,BAY,Off-road,BAY-O,A,1,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,0.1,Seed4Date,7/21/21,7/26/21,1,8/3/21,13,5
5,BAY,Off-road,BAY-O,A,1,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,0.1,Seed5Date,7/21/21,7/27/21,1,8/3/21,13,6
6,BAY,Off-road,BAY-O,A,1,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,0.1,Seed6Date,7/21/21,7/27/21,1,8/3/21,13,6
7,BAY,Off-road,BAY-O,A,1,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,0.1,Seed7Date,7/21/21,7/27/21,1,8/3/21,13,6
8,BAY,Off-road,BAY-O,A,1,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,0.1,Seed8Date,7/21/21,7/29/21,1,8/3/21,13,8
9,BAY,Off-road,BAY-O,A,1,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,0.1,Seed9Date,7/21/21,7/29/21,1,8/3/21,13,8
10,BAY,Off-road,BAY-O,A,1,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,0.1,Seed10Date,7/21/21,,NA,8/3/21,13,0
11,BAY,Off-road,BAY-O,A,1,2,1,Construction,A_1_Construction,Construction_O,1,9,0.9,0.1,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
12,BAY,Off-road,BAY-O,A,1,2,1,Construction,A_1_Construction,Construction_O,1,9,0.9,0.1,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
13,BAY,Off-road,BAY-O,A,1,2,1,Construction,A_1_Construction,Construction_O,1,9,0.9,0.1,Seed3Date,7/21/21,7/23/21,1,8/3/21,13,2
