Plant_ID,Plot,Row,Column,Position,Treatment,PlantDate(L),Planting Person (L),LeftMeasure(mm),PlantDate(R),Planting Person (R),RightMeasure(mm),%: 4/15/22,PER: 4/15/22,%: 4/21/22,PER: 4/21/22,PER: 4/29/22,Initial PER: 5/6/22,PER: 5/13/22,PER: 5/20/22,PER: 5/27/22,PER: 6/2/22,PER: 6/9/2022,Mortality Date (L),Mortality Date (R),Notes
1,A5,A,1,A1,Shade,3/17/2022,Rachael Bradley,12,3/17/2022,Rachael Bradley,21,10.6,1.269,,,,,,,,,,4/15/22,4/21/22,
2,A5,A,2,A2,Shade,3/17/2022,Rachael Bradley,18,4/1/2022,Emma Snyder,16,9.1,1.243,15.4,1.345,1.251,1.273,,,,,,5/6/22,5/27/22,
3,A5,B,1,B1,No Shade,3/17/2022,Rachael Bradley,19,3/17/2022,Rachael Bradley,20,12.8,1.307,17.1,1.369,1.251,1.229,1.221,1.2,,,,5/27/22,5/27/22,
4,A5,B,2,B2,No Shade,3/17/2022,Rachael Bradley,17,3/17/2022,Rachael Bradley,18,11.9,1.292,19.5,1.405,1.25,1.216,1.215,1.169,,,,5/20/22,5/27/22,
5,B2,A,1,A1,No Shade,3/17/2022,Emma Snyder,22,3/17/2022,Emma Snyder,19,12.1,1.293,14.9,1.336,1.196,1.172,1.188,1.165,1.151,,,6/2/22,6/2/22,
6,B2,A,2,A2,No Shade,3/17/2022,Emma Snyder,24,3/17/2022,Emma Snyder,20,11.9,1.292,18.3,1.388,1.237,1.207,1.164,1.13,1.138,1.129,1.158,5/27/22,6/18/22,
7,B2,B,1,B1,Shade,3/21/2022,Miranda Melen,13,3/21/2022,Miranda Melen,16,8.1,1.229,9.1,1.246,1.264,1.099,1.129,1.153,,,,5/27/22,5/27/22,
8,B2,B,2,B2,Shade,3/17/2022,Emma Snyder,25,3/17/2022,Emma Snyder,27,5.9,1.189,9.6,1.252,1.226,1.194,1.181,,,,,5/20/22,4/21/22,
9,C2,A,1,A1,No Shade,3/17/2022,Rachael Bradley,16,3/17/2022,Rachael Bradley,18,13.2,1.309,25.9,1.499,1.295,1.25,1.219,1.154,,,,5/27/22,5/27/22,
10,C2,A,2,A2,Shade,3/17/2022,Rachael Bradley,18,3/17/2022,Rachael Bradley,17,9.5,1.249,10,1.258,1.227,1.235,1.174,,,,,5/20/22,5/20/22,
11,C2,B,1,B1,Shade,3/17/2022,Rachael Bradley,22,3/17/2022,Rachael Bradley,22,14.4,1.328,16.6,1.362,1.299,1.235,1.248,,,,,5/20/22,5/20/22,
12,C2,B,2,B2,No Shade,3/17/2022,Rachael Bradley,17,3/17/2022,Rachael Bradley,21,15.6,1.346,22.7,1.451,1.255,1.267,1.169,1.204,,,,5/27/22,5/27/22,
